,,,0.332,50,0,
,,,0.334,50,0,
,,,0.336,50,0,
,,,0.338,50,0,
,,,0.34,49.6,-1.25,
,,,0.342,50,0,
,,,0.344,50,0,
,,,0.346,50.4,1.25,
,,,0.348,50,0,
,,,0.35,49.6,-1.25,
,,,0.352,49.6,-1.25,
,,,0.354,50,0,
,,,0.356,50,0,
,,,0.358,50,0,
,,,0.36,50,0,
,,,0.362,50,0,
,,,0.364,50,0,
,,,0.366,50,0,
,,,0.368,50,0,
,,,0.37,50,0,
,,,0.372,50,0,
,,,0.374,49.6,-1.25,
,,,0.376,50,0,
,,,0.378,50,0,
,,,0.38,50,0,
,,,0.382,50,0,
,,,0.384,49.6,-1.25,
,,,0.386,50,0,
,,,0.388,50,0,
,,,0.39,50,0,
,,,0.392,50.4,1.25,
,,,0.394,49.6,-1.25,
,,,0.396,50,0,
,,,0.398,50,0,
,,,0.4,50.4,1.25,
,,,0.402,49.6,-1.25,
,,,0.404,49.6,-1.25,
,,,0.406,50,0,
,,,0.408,50,0,
,,,0.41,50,0,
,,,0.412,50,0,
,,,0.414,50,0,
,,,0.416,50,0,
,,,0.418,50,0,
,,,0.42,50,0,
,,,0.422,50,0,
,,,0.424,49.6,-1.25,
,,,0.426,50,0,
,,,0.428,50,0,
,,,0.43,50,0,
,,,0.432,50,0,
,,,0.434,50,0,
,,,0.436,49.6,-1.25,
,,,0.438,49.6,-1.25,
,,,0.44,50,0,
,,,0.442,50,0,
,,,0.444,50,0,
,,,0.446,50,0,
,,,0.448,49.6,-1.25,
,,,0.45,49.6,-1.25,
,,,0.452,50,0,
,,,0.454,50.4,1.25,
,,,0.456,50,0,
,,,0.458,49.6,-1.25,
,,,0.46,50,0,
,,,0.462,50,0,
,,,0.464,50,0,
,,,0.466,50,0,
,,,0.468,50,0,
,,,0.47,50,0,
,,,0.472,50,0,
,,,0.474,50,0,
,,,0.476,50,0,
,,,0.478,50,0,
,,,0.48,50,0,
,,,0.482,50,0,
,,,0.484,50,0,
,,,0.486,50,0,
,,,0.488,49.6,-1.25,
,,,0.49,50,0,
,,,0.492,50,0,
,,,0.494,50.4,1.25,
,,,0.496,50,0,
,,,0.498,49.6,-1.25,
,,,0.5,50,0,
